score,0_left,1_left,bad_ratio_left,good_ratio_left,0_right,1_right,bad_ratio_right,good_ratio_right,psi_bad,psi_good
"[300, 350)",353.0,124.0,0.8378378378378378,0.004138577876780585,809.0,307.0,0.8924418604651163,0.004064918098683549,0.0034475231669664993,1.3228284008827305e-06
"[350, 400)",91.0,0.0,0.0,0.0010668855149774312,214.0,2.0,0.005813953488372093,0.001075268817204301,inf,6.561629473877176e-08
"[400, 450)",124.0,0.0,0.0,0.0014537780643648513,268.0,4.0,0.011627906976744186,0.0013465983318259472,inf,8.208260262459496e-06
"[450, 500)",148.0,0.0,0.0,0.0017351544639193387,337.0,6.0,0.01744186046511628,0.0016932971560647172,inf,1.0221064624198597e-06
"[500, 550)",187.0,2.0,0.013513513513513514,0.0021923911131953807,508.0,0.0,0.0,0.0025525072856999297,inf,5.4767671984020795e-05
"[550, 600)",197.0,1.0,0.006756756756756757,0.002309631279676417,517.0,1.0,0.0029069767441860465,0.002597728871470204,0.003247017583033854,3.386577388033207e-05
"[600, 650)",325.0,3.0,0.02027027027027027,0.0038103054106336832,730.0,6.0,0.01744186046511628,0.0036679730680333634,0.0004250596566448911,5.4186113897488786e-06
"[650, 700)",388.0,1.0,0.006756756756756757,0.004548918459464212,866.0,1.0,0.0029069767441860465,0.00435132147522862,0.003247017583033854,8.775265692149994e-06
"[700, 750)",522.0,1.0,0.006756756756756757,0.0061199366903101,1191.0,3.0,0.00872093023255814,0.005984323183599638,0.0005012234935944889,3.0388958864850936e-06
"[750, 800)",655.0,2.0,0.013513513513513514,0.007679230904507885,1540.0,2.0,0.005813953488372093,0.007737915787358054,0.006494035166067708,4.467664707757744e-07
"[800, 850)",850.0,1.0,0.006756756756756757,0.009965414150888094,1937.0,2.0,0.005813953488372093,0.009732690181891266,0.0001416865522149637,5.499307446613919e-06
"[850, 900)",940.0,1.0,0.006756756756756757,0.011020575649217422,2335.0,4.0,0.011627906976744186,0.011732489197065621,0.002644376854624265,4.45642281392359e-05
"[900, 950)",1279.0,1.0,0.006756756756756757,0.014995017292924556,3088.0,1.0,0.0029069767441860465,0.01551602853984524,0.003247017583033854,1.7795463994971146e-05
"[950, 1000)",79236.0,11.0,0.07432432432432433,0.9289641831291401,184680.0,5.0,0.014534883720930232,0.9279469400060295,0.09756959555027298,1.1145214890865344e-06
